#      T [K]      F [kJ/mol]    S [J/K/mol]  C_v [J/K/mol]     E [kJ/mol]
       0.000      68.2272954      0.0000000      0.0000000     68.2272954
      10.000      68.2237455      1.1998363      2.9160664     68.2357439
      20.000      68.1875276      7.1955443     19.6110820     68.3314385
      30.000      68.0504147     21.9317872     59.9121900     68.7083683
      40.000      67.7136794     47.1102800    120.3853762     69.5980906
      50.000      67.0782409     81.2339219    188.1548010     71.1399370
      60.000      66.0690530    121.3534740    252.8502869     73.3502615
      70.000      64.6404574    164.7140086    309.7159832     76.1704380
      80.000      62.7707653    209.3007457    357.7073298     79.5148249
      90.000      60.4547789    253.8037581    397.4744348     83.2971171
     100.000      57.6976415    297.4326931    430.2209327     87.4409108
     110.000      54.5105433    339.7433068    457.1934755     91.8823070
     120.000      50.9079337    380.5108006    479.4943520     96.5692297
     130.000      46.9057789    419.6454321    498.0365007    101.4596850
     140.000      42.5205019    457.1385125    513.5537732    106.5198937
     150.000      37.7683550    493.0285118    526.6283713    111.7226318
     160.000      32.6650614    527.3800065    537.7201847    117.0458625
     170.000      27.2256247    560.2707138    547.1926810    122.4716461
     180.000      21.4642400    591.7835865    555.3340725    127.9852855
     190.000      15.3942674    622.0020721    562.3740155    133.5746610
     200.000       9.0282421    651.0073483    568.4965610    139.2297118
     210.000       2.3779060    678.8767909    573.8501241    144.9420321
     220.000      -4.5457508    705.6832077    578.5551436    150.7045549
     230.000     -11.7324418    731.4945422    582.7099759    156.5113029
     240.000     -19.1725355    756.3738620    586.3954445    162.3571914
     250.000     -26.8570073    780.3795141    589.6783675    168.2378712
     260.000     -34.7773936    803.5653720    592.6143075    174.1496032
     270.000     -42.9257481    825.9811282    595.2497271    180.0891565
     280.000     -51.2946022    847.6726039    597.6236880    186.0537268
     290.000     -59.8769272    868.6820568    599.7691988    192.0408693
     300.000     -68.6661003    889.0484783    601.7142892    198.0484432
     310.000     -77.6558736    908.8078733    603.4828727    204.0745671
     320.000     -86.8403455    927.9935202    605.0954415    210.1175809
     330.000     -96.2139344    946.6362101    606.5696307    216.1760149
     340.000    -105.7713552    964.7644661    607.9206780    222.2485633
     350.000    -115.5075974    982.4047417    609.1618002    228.3340623
     360.000    -125.4179055    999.5816024    610.3045035    234.4314714
     370.000    -135.4977610   1016.3178889    611.3588400    240.5398579
     380.000    -145.7428657   1032.6348654    612.3336209    246.6583831
     390.000    -156.1491268   1048.5523536    613.2365943    252.7862911
     400.000    -166.7126430   1064.0888537    614.0745945    258.9228985
     410.000    -177.4296917   1079.2616544    614.8536670    265.0675866
     420.000    -188.2967178   1094.0869313    615.5791752    271.2197934
     430.000    -199.3103225   1108.5798373    616.2558894    277.3790075
     440.000    -210.4672541   1122.7545837    616.8880636    283.5447628
     450.000    -221.7643982   1136.6245139    617.4795010    289.7166330
     460.000    -233.1987702   1150.2021708    618.0336094    295.8942284
     470.000    -244.7675068   1163.4993571    618.5534494    302.0771910
     480.000    -256.4678596   1176.5271915    619.0417759    308.2651924
     490.000    -268.2971878   1189.2961584    619.5010736    314.4579298
     500.000    -280.2529529   1201.8161549    619.9335883    320.6551246
     510.000    -292.3327122   1214.0965321    620.3413537    326.8565191
     520.000    -304.5341143   1226.1461339    620.7262149    333.0618753
     530.000    -316.8548936   1237.9733326    621.0898488    339.2709727
     540.000    -329.2928661   1249.5860607    621.4337822    345.4836066
     550.000    -341.8459251   1260.9918406    621.7594077    351.6995873
     560.000    -354.5120370   1272.1978124    622.0679974    357.9187380
     570.000    -367.2892379   1283.2107584    622.3607152    364.1408944
