#      T [K]      F [kJ/mol]    S [J/K/mol]  C_v [J/K/mol]     E [kJ/mol]
       0.000     110.7632062      0.0000000      0.0000000    110.7632062
      10.000     110.7559985      2.0370640      3.9681281    110.7763691
      20.000     110.7049631      9.4380849     23.0494162    110.8937248
      30.000     110.5363693     26.0074340     65.4897152    111.3165923
      40.000     110.1497822     52.9817880    127.2890539    112.2690537
      50.000     109.4471620     88.7879056    196.4609673    113.8865573
      60.000     108.3540724    130.5900247    263.1787063    116.1894739
      70.000     106.8242982    175.7360053    322.7191587    119.1258185
      80.000     104.8348282    222.2619368    373.8905740    122.6157831
      90.000     102.3788329    268.8724790    417.1972744    126.5773560
     100.000      99.4597794    314.7738994    453.7374043    130.9371693
     110.000      96.0872595    359.5109829    484.6817462    135.6334676
     120.000      92.2742513    402.8449356    511.0715949    140.6156436
     130.000      88.0353964    444.6708018    533.7659173    145.8426007
     140.000      83.3859484    484.9642406    553.4494156    151.2809421
     150.000      78.3411464    523.7480902    570.6603544    156.9033600
     160.000      72.9158556    561.0716788    585.8208394    162.6873242
     170.000      67.1243705    596.9981590    599.2633020    168.6140576
     180.000      60.9803186    631.5968365    611.2517101    174.6677492
     190.000      54.4966234    664.9385886    621.9978478    180.8349553
     200.000      47.6855037    697.0931886    631.6735546    187.1041414
     210.000      40.5584926    728.1278020    640.4198514    193.4653310
     220.000      33.1264680    758.1062025    648.3537383    199.9098325
     230.000      25.3996887    787.0884242    655.5732793    206.4300262
     240.000      17.3878323    815.1306772    662.1614325    213.0191948
     250.000       9.1000331    842.2854166    668.1889648    219.6713873
     260.000       0.5449191    868.6014996    673.7166917    226.3813090
     270.000      -8.2693532    894.1243868    678.7972211    233.1442312
     280.000     -17.3350659    918.8963639    683.4763240    239.9559160
     290.000     -26.6449089    942.9567671    687.7940280    246.8125535
     300.000     -36.1919517    966.3422040    691.7854961    253.7107095
     310.000     -45.9696170    989.0867638    695.4817432    260.6472798
     320.000     -55.9716568   1011.2222156    698.9102241    267.6194522
     330.000     -66.1921299   1032.7781916    702.0953217    274.6246733
     340.000     -76.6253815   1053.7823573    705.0587546    281.6606200
     350.000     -87.2660241   1074.2605671    707.8199210    288.7251744
     360.000     -98.1089204   1094.2370075    710.3961895    295.8164023
     370.000    -109.1491673   1113.7343279    712.8031481    302.9325340
     380.000    -120.3820808   1132.7737595    715.0548164    310.0719478
     390.000    -131.8031828   1151.3752249    717.1638297    317.2331549
     400.000    -143.4081880   1169.5574374    719.1415973    324.4147870
     410.000    -155.1929928   1187.3379919    720.9984404    331.6155839
     420.000    -167.1536642   1204.7334481    722.7437119    338.8343840
     430.000    -179.2864302   1221.7594065    724.3859017    346.0701146
     440.000    -191.5876698   1238.4305774    725.9327285    353.3217842
     450.000    -204.0539055   1254.7608450    727.3912206    360.5884748
     460.000    -216.6817942   1270.7633256    728.7677873    367.8693356
     470.000    -229.4681208   1286.4504208    730.0682818    375.1635770
     480.000    -242.4097905   1301.8338668    731.2980566    382.4704656
     490.000    -255.5038230   1316.9247793    732.4620134    389.7893188
     500.000    -268.7473462   1331.7336953    733.5646466    397.1195015
     510.000    -282.1375903   1346.2706107    734.6100824    404.4604211
     520.000    -295.6718834   1360.5450164    735.6021138    411.8115251
     530.000    -309.3476457   1374.5659298    736.5442316    419.1722971
     540.000    -323.1623857   1388.3419255    737.4396522    426.5422541
     550.000    -337.1136951   1401.8811627    738.2913428    433.9209444
     560.000    -351.1992457   1415.1914108    739.1020435    441.3079444
     570.000    -365.4167847   1428.2800733    739.8742874    448.7028571
     580.000    -379.7641321   1441.1542101    740.6104189    456.1053098
     590.000    -394.2391763   1453.8205571    741.3126101    463.5149523
     600.000    -408.8398721   1466.2855460    741.9828751    470.9314556
     610.000    -423.5642366   1478.5553217    742.6230837    478.3545097
     620.000    -438.4103474   1490.6357584    743.2349733    485.7838228
     630.000    -453.3763394   1502.5324754    743.8201597    493.2191201
     640.000    -468.4604024   1514.2508508    744.3801471    500.6601421
     650.000    -483.6607791   1525.7960352    744.9163372    508.1066438
     660.000    -498.9757623   1537.1729639    745.4300369    515.5583938
     670.000    -514.4036933   1548.3863686    745.9224664    523.0151736
     680.000    -529.9429598   1559.4407880    746.3947652    530.4767761
     690.000    -545.5919937   1570.3405783    746.8479989    537.9430054
     700.000    -561.3492699   1581.0899224    747.2831645    545.4136758
     710.000    -577.2133041   1591.6928389    747.7011957    552.8886115
     720.000    -593.1826514   1602.1531903    748.1029674    560.3676456
     730.000    -609.2559050   1612.4746911    748.4893003    567.8506194
     740.000    -625.4316943   1622.6609149    748.8609645    575.3373827
     750.000    -641.7086839   1632.7153015    749.2186833    582.8277922
     760.000    -658.0855720   1642.6411633    749.5631368    590.3217121
     770.000    -674.5610894   1652.4416913    749.8949645    597.8190129
     780.000    -691.1339983   1662.1199611    750.2147681    605.3195713
     790.000    -707.8030910   1671.6789381    750.5231148    612.8232701
     800.000    -724.5671890   1681.1214827    750.8205387    620.3299972
     810.000    -741.4251417   1690.4503554    751.1075436    627.8396461
     820.000    -758.3758260   1699.6682207    751.3846052    635.3521150
     830.000    -775.4181447   1708.7776522    751.6521723    642.8673066
     840.000    -792.5510259   1717.7811358    751.9106690    650.3851282
     850.000    -809.7734223   1726.6810745    752.1604965    657.9054911
     860.000    -827.0843100   1735.4797913    752.4020340    665.4283105
     870.000    -844.4826882   1744.1795328    752.6356405    672.9535053
     880.000    -861.9675780   1752.7824727    752.8616561    680.4809980
     890.000    -879.5380220   1761.2907149    753.0804028    688.0107142
     900.000    -897.1930835   1769.7062959    753.2921860    695.5425828
     910.000    -914.9318456   1778.0311883    753.4972954    703.0765357
     920.000    -932.7534113   1786.2673029    753.6960059    710.6125074
     930.000    -950.6569020   1794.4164917    753.8885786    718.1504353
     940.000    -968.6414574   1802.4805497    754.0752613    725.6902593
     950.000    -986.7062350   1810.4612176    754.2562898    733.2319217
     960.000   -1004.8504094   1818.3601838    754.4318882    740.7753670
     970.000   -1023.0731718   1826.1790865    754.6022697    748.3205421
     980.000   -1041.3737295   1833.9195156    754.7676371    755.8673957
     990.000   -1059.7513057   1841.5830146    754.9281839    763.4158788
    1000.000   -1078.2051384   1849.1710824    755.0840939    770.9659439
    1010.000   -1096.7344807   1856.6851748    755.2355428    778.5175458
    1020.000   -1115.3386000   1864.1267064    755.3826977    786.0706405
    1030.000   -1134.0167776   1871.4970520    755.5257184    793.6251860
    1040.000   -1152.7683082   1878.7975479    755.6647570    801.1811416
    1050.000   -1171.5925001   1886.0294937    755.7999589    808.7384683
    1060.000   -1190.4886738   1893.1941531    755.9314632    816.2971284
    1070.000   -1209.4561629   1900.2927557    756.0594023    823.8570857
    1080.000   -1228.4943128   1907.3264979    756.1839032    831.4183050
    1090.000   -1247.6024806   1914.2965443    756.3050871    838.9807527
    1100.000   -1266.7800351   1921.2040284    756.4230701    846.5443961
    1110.000   -1286.0263563   1928.0500541    756.5379631    854.1092038
    1120.000   -1305.3408349   1934.8356967    756.6498725    861.6751454
    1130.000   -1324.7228724   1941.5620036    756.7589000    869.2421916
    1140.000   -1344.1718806   1948.2299954    756.8651431    876.8103141
    1150.000   -1363.6872813   1954.8406668    756.9686952    884.3794855
    1160.000   -1383.2685061   1961.3949875    757.0696460    891.9496794
    1170.000   -1402.9149963   1967.8939029    757.1680812    899.5208701
    1180.000   -1422.6262026   1974.3383351    757.2640834    907.0930329
    1190.000   -1442.4015844   1980.7291835    757.3577316    914.6661439
    1200.000   -1462.2406105   1987.0673254    757.4491017    922.2401799
    1210.000   -1482.1427581   1993.3536171    757.5382665    929.8151186
    1220.000   -1502.1075128   1999.5888942    757.6252962    937.3909381
    1230.000   -1522.1343687   2005.7739726    757.7102579    944.9676176
    1240.000   -1542.2228276   2011.9096486    757.7932163    952.5451366
    1250.000   -1562.3723996   2017.9967000    757.8742337    960.1234755
    1260.000   -1582.5826021   2024.0358866    757.9533697    967.7026150
    1270.000   -1602.8529602   2030.0279504    758.0306818    975.2825368
    1280.000   -1623.1830064   2035.9736165    758.1062255    982.8632228
    1290.000   -1643.5722803   2041.8735937    758.1800540    990.4446556
    1300.000   -1664.0203283   2047.7285743    758.2522185    998.0268183
    1310.000   -1684.5267040   2053.5392355    758.3227685   1005.6096946
    1320.000   -1705.0909675   2059.3062393    758.3917515   1013.1932684
    1330.000   -1725.7126854   2065.0302330    758.4592134   1020.7775245
    1340.000   -1746.3914309   2070.7118498    758.5251984   1028.3624478
    1350.000   -1767.1267832   2076.3517088    758.5897491   1035.9480237
    1360.000   -1787.9183279   2081.9504162    758.6529066   1043.5342381
    1370.000   -1808.7656564   2087.5085647    758.7147105   1051.1210773
    1380.000   -1829.6683659   2093.0267347    758.7751990   1058.7085280
