#      T [K]      F [kJ/mol]    S [J/K/mol]  C_v [J/K/mol]     E [kJ/mol]
       0.000      58.4925660      0.0000000      0.0000000     58.4925660
      10.000      58.4437871     12.8356461     20.4409747     58.5721435
      20.000      58.1952196     38.3627466     58.8388592     58.9624746
      30.000      57.6559403     70.2551257    102.0996486     59.7635941
      40.000      56.7774397    105.9709765    148.7455493     61.0162787
      50.000      55.5281955    144.1815835    195.0523447     62.7372747
      60.000      53.8898875    183.5768840    237.5849032     64.9045006
      70.000      51.8563694    223.0706257    274.8648688     67.4713132
      80.000      49.4306727    261.9149802    306.7858024     70.3838711
      90.000      46.6217692    299.6564123    333.8569258     73.5908463
     100.000      43.4420489    336.0509511    356.7674701     77.0471440
     110.000      39.9056085    370.9907440    376.1934511     80.7145903
     120.000      36.0271684    404.4518375    392.7289049     84.5613889
     130.000      31.8214182    436.4598834    406.8717536     88.5612030
     140.000      27.3026372    467.0684441    419.0306998     92.6922194
     150.000      22.4844882    496.3455456    429.5384694     96.9363200
     160.000      17.3799170    524.3654678    438.6655021    101.2783919
     170.000      12.0011172    551.2038174    446.6320319    105.7057661
     180.000       6.3595321    576.9346430    453.6180814    110.2077678
     190.000       0.4658794    601.6288199    459.7714913    114.7753552
     200.000      -5.6698122    625.3532172    465.2142886    119.4008312
     210.000     -12.0381612    648.1703466    470.0477145    124.0776115
     220.000     -18.6303891    670.1383011    474.3561945    128.8000372
     230.000     -25.4382764    691.3108657    478.2104825    133.5632227
     240.000     -32.4541211    711.7377233    481.6701593    138.3629325
     250.000     -39.6706984    731.4647110    484.7856289    143.1954794
     260.000     -47.0812237    750.5340956    487.5997204    148.0576412
     270.000     -54.6793185    768.9848523    490.1489804    152.9465916
     280.000     -62.4589788    786.8529345    492.4647212    157.8598429
     290.000     -70.4145459    804.1715299    494.5738747    162.7951978
     300.000     -78.5406802    820.9712993    496.4996909    167.7507096
     310.000     -86.8323372    837.2805971    498.2623135    172.7246479
     320.000     -95.2847450    853.1256733    499.8792541    177.7154705
     330.000    -103.8933845    868.5308578    501.3657860    182.7217985
     340.000    -112.6539713    883.5187279    502.7352730    187.7423962
     350.000    -121.5624381    898.1102606    503.9994426    192.7761531
     360.000    -130.6149205    912.3249698    505.1686172    197.8220686
     370.000    -139.8077422    926.1810309    506.2519070    202.8792393
     380.000    -149.1374023    939.6953939    507.2573749    207.9468474
     390.000    -158.6005639    952.8838852    508.1921748    213.0241513
     400.000    -168.1940432    965.7612995    509.0626700    218.1104766
     410.000    -177.9147993    978.3414843    509.8745345    223.2052093
     420.000    -187.7599254    990.6374150    510.6328393    228.3077888
     430.000    -197.7266407   1002.6612638    511.3421262    233.4177028
     440.000    -207.8122820   1014.4244627    512.0064725    238.5344816
     450.000    -218.0142970   1025.9377593    512.6295456    243.6576947
     460.000    -228.3302379   1037.2112694    513.2146510    248.7869460
     470.000    -238.7577549   1048.2545235    513.7647741    253.9218711
     480.000    -249.2945909   1059.0765100    514.2826157    259.0621339
     490.000    -259.9385759   1069.6857141    514.7706241    264.2074240
     500.000    -270.6876227   1080.0901541    515.2310221    269.3574544
     510.000    -281.5397218   1090.2974136    515.6658318    274.5119592
     520.000    -292.4929377   1100.3146722    516.0768951    279.6706919
     530.000    -303.5454046   1110.1487323    516.4658930    284.8334235
     540.000    -314.6953232   1119.8060454    516.8343617    289.9999413
     550.000    -325.9409568   1129.2927343    517.1837072    295.1700470
     560.000    -337.2806285   1138.6146153    517.5152183    300.3435560
     570.000    -348.7127182   1147.7772178    517.8300779    305.5202959
     580.000    -360.2356595   1156.7858021    518.1293734    310.7001057
     590.000    -371.8479376   1165.6453770    518.4141054    315.8828348
     600.000    -383.5480863   1174.3607144    518.6851962    321.0683424
     610.000    -395.3346863   1182.9363646    518.9434966    326.2564961
     620.000    -407.2063625   1191.3766689    519.1897928    331.4471723
     630.000    -419.1617823   1199.6857726    519.4248118    336.6402544
     640.000    -431.1996538   1207.8676359    519.6492268    341.8356332
     650.000    -443.3187235   1215.9260450    519.8636619    347.0332057
     660.000    -455.5177753   1223.8646218    520.0686962    352.2328751
     670.000    -467.7956281   1231.6868331    520.2648677    357.4345501
     680.000    -480.1511351   1239.3959996    520.4526768    362.6381446
     690.000    -492.5831819   1246.9953032    520.6325890    367.8435773
     700.000    -505.0906852   1254.4877952    520.8050383    373.0507715
     710.000    -517.6725915   1261.8764029    520.9704295    378.2596545
     720.000    -530.3278763   1269.1639363    521.1291403    383.4701578
     730.000    -543.0555424   1276.3530940    521.2815237    388.6822163
     740.000    -555.8546189   1283.4464692    521.4279098    393.8957683
     750.000    -568.7241608   1290.4465550    521.5686076    399.1107555
     760.000    -581.6632471   1297.3557494    521.7039065    404.3271224
     770.000    -594.6709805   1304.1763598    521.8340779    409.5448165
     780.000    -607.7464864   1310.9106079    521.9593763    414.7637878
     790.000    -620.8889119   1317.5606336    522.0800408    419.9839886
     800.000    -634.0974252   1324.1284989    522.1962960    425.2053739
     810.000    -647.3712147   1330.6161916    522.3083533    430.4279005
     820.000    -660.7094882   1337.0256291    522.4164114    435.6515276
     830.000    -674.1114726   1343.3586610    522.5206575    440.8762161
     840.000    -687.5764127   1349.6170730    522.6212681    446.1019286
     850.000    -701.1035711   1355.8025893    522.7184096    451.3286299
     860.000    -714.6922271   1361.9168754    522.8122391    456.5562858
     870.000    -728.3416765   1367.9615409    522.9029047    461.7848641
     880.000    -742.0512310   1373.9381419    522.9905466    467.0143338
     890.000    -755.8202175   1379.8481830    523.0752973    472.2446654
     900.000    -769.6479777   1385.6931202    523.1572821    477.4758305
     910.000    -783.5338676   1391.4743624    523.2366195    482.7078022
     920.000    -797.4772572   1397.1932735    523.3134220    487.9405545
     930.000    -811.4775297   1402.8511745    523.3877960    493.1740626
     940.000    -825.5340815   1408.4493449    523.4598426    498.4083026
     950.000    -839.6463216   1413.9890248    523.5296573    503.6432520
     960.000    -853.8136711   1419.4714164    523.5973313    508.8788887
     970.000    -868.0355629   1424.8976852    523.6629509    514.1151917
     980.000    -882.3114415   1430.2689618    523.7265980    519.3521411
     990.000    -896.6407625   1435.5863433    523.7883508    524.5897174
    1000.000    -911.0229923   1440.8508943    523.8482835    529.8279021
    1010.000    -925.4576077   1446.0636485    523.9064666    535.0666772
    1020.000    -939.9440959   1451.2256095    523.9629674    540.3060258
    1030.000    -954.4819538   1456.3377524    524.0178500    545.5459312
    1040.000    -969.0706881   1461.4010247    524.0711754    550.7863776
    1050.000    -983.7098145   1466.4163469    524.1230017    556.0273497
    1060.000    -998.3988582   1471.3846141    524.1733846    561.2688328
    1070.000   -1013.1373528   1476.3066968    524.2223769    566.5108128
    1080.000   -1027.9248410   1481.1834415    524.2700292    571.7532759
    1090.000   -1042.7608733   1486.0156719    524.3163899    576.9962090
    1100.000   -1057.6450087   1490.8041893    524.3615051    582.2395995
    1110.000   -1072.5768140   1495.5497740    524.4054189    587.4834351
    1120.000   -1087.5558636   1500.2531854    524.4481734    592.7277040
    1130.000   -1102.5817396   1504.9151632    524.4898090    597.9723949
