#      T [K]      F [kJ/mol]    S [J/K/mol]  C_v [J/K/mol]     E [kJ/mol]
       0.000     175.4473055      0.0000000      0.0000000    175.4473055
      10.000     175.4306430      4.9833983     10.1801969    175.4804769
      20.000     175.3076138     22.1271502     50.4741864    175.7501568
      30.000     174.9263261     57.7541765    140.5886408    176.6589514
      40.000     174.0755781    116.1902275    278.0800725    178.7231872
      50.000     172.5341836    195.0049382    434.9992146    182.2844305
      60.000     170.1284068    287.9568722    587.1708526    187.4058191
      70.000     166.7485644    388.9091431    722.9303473    193.9722044
      80.000     162.3391122    493.2472938    839.1569585    201.7988957
      90.000     156.8827189    597.8940036    936.7772542    210.6931792
     100.000     150.3866657    700.9366758   1018.1710838    220.4803333
     110.000     142.8731179    801.2563846   1085.9722279    231.0113202
     120.000     134.3726631    898.2491419   1142.5955390    242.1625602
     130.000     124.9201765    991.6360163   1190.0947211    253.8328586
     140.000     114.5522355   1081.3390297   1230.1565868    265.9396996
     150.000     103.3055384   1167.4015604   1264.1441560    278.4157725
     160.000      91.2159628   1249.9377676   1293.1513875    291.2060056
     170.000      78.3180295   1329.1006544   1318.0550292    304.2651407
     180.000      64.6446221   1405.0620373   1339.5589017    317.5557888
     190.000      50.2268662   1478.0001144   1358.2299602    331.0468880
     200.000      35.0941068   1548.0918857   1374.5269732    344.7124839
     210.000      19.2739442   1615.5086714   1388.8230659    358.5307652
     220.000       2.7923052   1680.4136064   1401.4233513    372.4832986
     230.000     -14.3264685   1742.9603874   1412.5787067    386.5544206
     240.000     -32.0595225   1803.2928084   1422.4965532    400.7307515
     250.000     -50.3853909   1861.5447817   1431.3493147    415.0008045
     260.000     -69.2838988   1917.8406507   1439.2810825    429.3546704
     270.000     -88.7360687   1972.2956682   1446.4128889    443.7837617
     280.000    -108.7240326   2025.0165590   1452.8469007    458.2806039
     290.000    -129.2309496   2076.1021158   1458.6697703    472.8386640
     300.000    -150.2409294   2125.6437962   1463.9553276    487.4522094
     310.000    -171.7389623   2173.7263012   1468.7667524    502.1161911
     320.000    -193.7108538   2220.4281239   1473.1583372    516.8261459
     330.000    -216.1431657   2265.8220634   1477.1769246    531.5781152
     340.000    -239.0231613   2309.9757003   1480.8630842    546.3685768
     350.000    -262.3387552   2352.9518344   1484.2520815    561.1943868
     360.000    -286.0784681   2394.8088862   1487.3746792    576.0527309
     370.000    -310.2313844   2435.6012621   1490.2578017    590.9410825
     380.000    -334.7871139   2475.3796887   1492.9250899    605.8571678
     390.000    -359.7357565   2514.1915157   1495.3973654    620.7989346
     400.000    -385.0678700   2552.0809916   1497.6930209    635.7645266
     410.000    -410.7744402   2589.0895144   1499.8283491    650.7522608
     420.000    -436.8468533   2625.2558593   1501.8178219    665.7606076
     430.000    -463.2768715   2660.6163852   1503.6743268    680.7881741
     440.000    -490.0566090   2695.2052235   1505.4093695    695.8336894
