#      T [K]      F [kJ/mol]    S [J/K/mol]  C_v [J/K/mol]     E [kJ/mol]
       0.000      86.5636422      0.0000000      0.0000000     86.5636422
      10.000      86.5618636      0.5991926      1.5077630     86.5678555
      20.000      86.5426092      3.9524991     11.4131951     86.6216592
      30.000      86.4642212     12.8219572     36.7084982     86.8488799
      40.000      86.2636890     28.3470157     74.3358801     87.3975696
      50.000      85.8789182     49.3590221    115.4818575     88.3468693
      60.000      85.2647924     73.8988481    154.2105153     89.6987233
      70.000      84.3948251    100.2918659    188.2557751     91.4152557
      80.000      83.2566779    127.3825819    217.3586739     93.4472845
      90.000      81.8472863    154.4492876    242.0549663     95.7477222
     100.000      80.1692007    181.0696650    263.0845088     98.2761672
     110.000      78.2281638    207.0126119    281.1516699    100.9995511
     120.000      76.0315935    232.1643185    296.8479893    103.8913117
     130.000      73.5876655    256.4809073    310.6424752    106.9301834
     140.000      70.9047726    279.9590255    322.8965988    110.0990362
     150.000      67.9912170    302.6179235    333.8855617    113.3839055
     160.000      64.8550418    324.4886940    343.8185313    116.7732329
     170.000      61.5039484    345.6079107    352.8554505    120.2572932
     180.000      57.9452609    366.0139426    361.1200936    123.8277705
     190.000      54.1859197    385.7448831    368.7098210    127.4774475
     200.000      50.2324909    404.8374403    375.7026911    131.1999790
     210.000      46.0911827    423.3263961    382.1625686    134.9897259
     220.000      41.7678660    441.2443924    388.1427597    138.8416323
     230.000      37.2680962    458.6219027    393.6885888    142.7511339
     240.000      32.5971347    475.4873024    398.8392267    146.7140873
     250.000      27.7599690    491.8669876    403.6289932    150.7267159
     260.000      22.7613320    507.7855153    408.0882951    154.7855660
     270.000      17.6057195    523.2657468    412.2443100    158.8874712
     280.000      12.2974069    538.3289862    416.1214947    163.0295230
     290.000       6.8404634    552.9951111    419.7419711    167.2090456
     300.000       1.2387663    567.2826919    423.1258270    171.4235739
     310.000      -4.5039867    581.2091007    426.2913557    175.6708345
     320.000     -10.3842661    594.7906100    429.2552525    179.9487290
