#      T [K]      F [kJ/mol]    S [J/K/mol]  C_v [J/K/mol]     E [kJ/mol]
       0.000      70.2120633      0.0000000      0.0000000     70.2120633
      10.000      70.1784691     12.1921887     27.4883642     70.3003910
      20.000      69.8950123     46.2369960     76.5272943     70.8197523
      30.000      69.2342554     86.4912219    125.3751004     71.8289921
      40.000      68.1568705    129.2854013    174.3726325     73.3282866
      50.000      66.6445139    173.2937986    221.2178419     75.3092038
      60.000      64.6905230    217.4526777    263.6315356     77.7376836
      70.000      62.2976935    260.9518333    300.8245921     80.5643218
      80.000      59.4754314    303.2753609    333.0145348     83.7374603
      90.000      56.2370559    344.1431433    360.8032150     87.2099388
     100.000      52.5978420    383.4319525    384.8429913     90.9410373
     110.000      48.5737806    421.1133732    405.7154148     94.8962517
     120.000      44.1808501    457.2130844    423.9073594     99.0464202
     130.000      39.4346093    491.7861558    439.8202027    103.3668096
     140.000      34.3499832    524.9025427    453.7857032    107.8363392
     150.000      28.9411595    556.6386612    466.0802531    112.4369587
     160.000      23.2215508    587.0725083    476.9359560    117.1531521
     170.000      17.2037940    616.2808513    486.5489643    121.9715388
     180.000      10.8997718    644.3376393    495.0858187    126.8805469
     190.000       4.3206451    671.3131480    502.6883954    131.8701432
     200.000      -2.5231080    697.2735719    509.4778684    136.9316064
     210.000      -9.6216498    722.2808923    515.5579512    142.0573375
     220.000     -16.9657419    746.3929118    521.0175851    147.2406987
     230.000     -24.5467034    769.6633929    525.9331900    152.4758770
     240.000     -32.3563715    792.1422533    530.3705557    157.7577693
     250.000     -40.3870644    813.8757937    534.3864368    163.0818840
     260.000     -48.6315464    834.9069375    538.0298981    168.4442574
     270.000     -57.0829948    855.2754729    541.3434513    173.8413829
     280.000     -65.7349704    875.0182882    544.3640140    179.2701503
     290.000     -74.5813891    894.1695974    547.1237218    184.7277941
     300.000     -83.6164967    912.7611527    549.6506138    190.2118491
     310.000     -92.8348449    930.8224429    551.9692137    195.7201124
     320.000    -102.2312696    948.3808770    554.1010224    201.2506110
     330.000    -111.8008714    965.4619542    556.0649351    206.8015735
     340.000    -121.5389968    982.0894194    557.8775972    212.3714058
     350.000    -131.4412217    998.2854061    559.5537063    217.9586704
     360.000    -141.5033357   1014.0705664    561.1062701    223.5620682
     370.000    -151.7213281   1029.4641910    562.5468270    229.1804226
     380.000    -162.0913746   1044.4843168    563.8856352    234.8126657
     390.000    -172.6098258   1059.1478269    565.1318339    240.4578267
     400.000    -183.2731953   1073.4705408    566.2935835    246.1150210
     410.000    -194.0781502   1087.4672963    567.3781853    251.7834413
     420.000    -205.0215012   1101.1520254    568.3921850    257.4623494
     430.000    -216.1001943   1114.5378225    569.3414629    263.1510693
     440.000    -227.3113024   1127.6370069    570.2313115    268.8489807
     450.000    -238.6520178   1140.4611806    571.0665032    274.5555134
     460.000    -250.1196458   1153.0212799    571.8513493    280.2701430
     470.000    -261.7115977   1165.3276240    572.5897516    285.9923856
     480.000    -273.4253850   1177.3899583    573.2852470    291.7217950
     490.000    -285.2586142   1189.2174949    573.9410475    297.4579583
     500.000    -297.2089813   1200.8189495    574.5600745    303.2004934
     510.000    -309.2742672   1212.2025750    575.1449892    308.9490461
     520.000    -321.4523329   1223.3761932    575.6982199    314.7032876
     530.000    -333.7411158   1234.3472228    576.2219853    320.4629123
     540.000    -346.1386255   1245.1227063    576.7183158    326.2276359
     550.000    -358.6429404   1255.7093342    577.1890719    331.9971934
     560.000    -371.2522039   1266.1134673    577.6359611    337.7713378
     570.000    -383.9646217   1276.3411578    578.0605522    343.5498383
     580.000    -396.7784582   1286.3981681    578.4642886    349.3324793
     590.000    -409.6920344   1296.2899888    578.8485001    355.1190590
     600.000    -422.7037248   1306.0218552    579.2144132    360.9093883
     610.000    -435.8119550   1315.5987624    579.5631605    366.7032900
     620.000    -449.0151994   1325.0254795    579.8957893    372.5005978
     630.000    -462.3119792   1334.3065627    580.2132688    378.3011553
     640.000    -475.7008598   1343.4463680    580.5164972    384.1048157
     650.000    -489.1804495   1352.4490617    580.8063076    389.9114406
     660.000    -502.7493973   1361.3186318    581.0834737    395.7208997
     670.000    -516.4063912   1370.0588977    581.3487146    401.5330703
     680.000    -530.1501565   1378.6735190    581.6026995    407.3478365
     690.000    -543.9794544   1387.1660048    581.8460515    413.1650888
     700.000    -557.8930807   1395.5397210    582.0793518    418.9847240
     710.000    -571.8898637   1403.7978985    582.3031424    424.8066442
     720.000    -585.9686639   1411.9436399    582.5179296    430.6307568
     730.000    -600.1283717   1419.9799261    582.7241868    436.4569743
     740.000    -614.3679071   1427.9096226    582.9223569    442.2852136
     750.000    -628.6862181   1435.7354853    583.1128543    448.1153959
     760.000    -643.0822795   1443.4601658    583.2960678    453.9474464
     770.000    -657.5550926   1451.0862166    583.4723617    459.7812942
     780.000    -672.1036833   1458.6160962    583.6420781    465.6168718
     790.000    -686.7271019   1466.0521732    583.8055384    471.4541149
     800.000    -701.4244217   1473.3967305    583.9630444    477.2929627
     810.000    -716.1947388   1480.6519700    584.1148804    483.1333569
     820.000    -731.0371705   1487.8200156    584.2613139    488.9752423
     830.000    -745.9508553   1494.9029172    584.4025968    494.8185660
     840.000    -760.9349516   1501.9026541    584.5389666    500.6632778
     850.000    -775.9886375   1508.8211379    584.6706474    506.5093297
     860.000    -791.1111097   1515.6602158    584.7978507    512.3566759
     870.000    -806.3015831   1522.4216731    584.9207762    518.2052725
     880.000    -821.5592902   1529.1072363    585.0396127    524.0550778
     890.000    -836.8834804   1535.7185754    585.1545388    529.9060517
     900.000    -852.2734197   1542.2573064    585.2657235    535.7581561
     910.000    -867.7283897   1548.7249934    585.3733266    541.6113542
     920.000    -883.2476878   1555.1231510    585.4774997    547.4656112
     930.000    -898.8306259   1561.4532464    585.5783864    553.3208933
     940.000    -914.4765306   1567.7167010    585.6761231    559.1771684
     950.000    -930.1847424   1573.9148927    585.7708389    565.0344057
     960.000    -945.9546153   1580.0491571    585.8626566    570.8925755
     970.000    -961.7855167   1586.1207900    585.9516928    576.7516495
     980.000    -977.6768266   1592.1310480    586.0380582    582.6116005
     990.000    -993.6279372   1598.0811508    586.1218583    588.4724021
    1000.000   -1009.6382530   1603.9722824    586.2031933    594.3340294
    1010.000   -1025.7071901   1609.8055923    586.2821586    600.1964581
    1020.000   -1041.8341759   1615.5821969    586.3588451    606.0596650
    1030.000   -1058.0186486   1621.3031809    586.4333392    611.9236277
    1040.000   -1074.2600576   1626.9695984    586.5057235    617.7883247
    1050.000   -1090.5578621   1632.5824739    586.5760767    623.6537354
    1060.000   -1106.9115319   1638.1428035    586.6444738    629.5198398
    1070.000   -1123.3205463   1643.6515560    586.7109864    635.3866186
    1080.000   -1139.7843943   1649.1096738    586.7756829    641.2540534
    1090.000   -1156.3025740   1654.5180738    586.8386287    647.1221264
    1100.000   -1172.8745930   1659.8776485    586.8998861    652.9908204
    1110.000   -1189.4999672   1665.1892666    586.9595148    658.8601187
    1120.000   -1206.1782213   1670.4537738    587.0175719    664.7300054
    1130.000   -1222.9088884   1675.6719942    587.0741120    670.6004651
    1140.000   -1239.6915095   1680.8447301    587.1291873    676.4714828
    1150.000   -1256.5256339   1685.9727635    587.1828479    682.3430441
    1160.000   -1273.4108184   1691.0568565    587.2351416    688.2151352
    1170.000   -1290.3466271   1696.0977518    587.2861143    694.0877426
    1180.000   -1307.3326318   1701.0961738    587.3358102    699.9608532
    1190.000   -1324.3684113   1706.0528286    587.3842713    705.8344546
    1200.000   -1341.4535515   1710.9684051    587.4315381    711.7085347
    1210.000   -1358.5876448   1715.8435755    587.4776495    717.5830816
    1220.000   -1375.7702905   1720.6789954    587.5226427    723.4580839
    1230.000   -1393.0010943   1725.4753050    587.5665535    729.3335308
    1240.000   -1410.2796683   1730.2331289    587.6094163    735.2094115
    1250.000   -1427.6056306   1734.9530771    587.6512640    741.0857157
    1260.000   -1444.9786056   1739.6357453    587.6921285    746.9624335
    1270.000   -1462.3982232   1744.2817152    587.7320401    752.8395551
    1280.000   -1479.8641194   1748.8915552    587.7710282    758.7170712
    1290.000   -1497.3759357   1753.4658205    587.8091211    764.5949727
    1300.000   -1514.9333191   1758.0050537    587.8463458    770.4732508
    1310.000   -1532.5359218   1762.5097852    587.8827285    776.3518968
    1320.000   -1550.1834015   1766.9805334    587.9182944    782.2309026
    1330.000   -1567.8754209   1771.4178052    587.9530677    788.1102601
    1340.000   -1585.6116477   1775.8220963    587.9870716    793.9899614
    1350.000   -1603.3917545   1780.1938915    588.0203287    799.8699990
    1360.000   -1621.2154188   1784.5336649    588.0528607    805.7503656
    1370.000   -1639.0823226   1788.8418806    588.0846884    811.6310539
    1380.000   -1656.9921527   1793.1189926    588.1158321    817.5120570
    1390.000   -1674.9446003   1797.3654450    588.1463110    823.3933683
    1400.000   -1692.9393608   1801.5816728    588.1761440    829.2749811
    1410.000   -1710.9761344   1805.7681018    588.2053491    835.1568891
    1420.000   -1729.0546249   1809.9251486    588.2339438    841.0390861
    1430.000   -1747.1745408   1814.0532215    588.2619451    846.9215660
    1440.000   -1765.3355941   1818.1527203    588.2893690    852.8043230
    1450.000   -1783.5375012   1822.2240364    588.3162315    858.6873515
    1460.000   -1801.7799822   1826.2675535    588.3425477    864.5706458
    1470.000   -1820.0627609   1830.2836473    588.3683322    870.4542007
    1480.000   -1838.3855650   1834.2726863    588.3935994    876.3380108
    1490.000   -1856.7481256   1838.2350313    588.4183628    882.2220710
    1500.000   -1875.1501778   1842.1710361    588.4426358    888.1063764
    1510.000   -1893.5914597   1846.0810476    588.4664313    893.9909221
    1520.000   -1912.0717132   1849.9654057    588.4897616    899.8757035
    1530.000   -1930.5906834   1853.8244440    588.5126388    905.7607158
    1540.000   -1949.1481188   1857.6584893    588.5350745    911.6459548
    1550.000   -1967.7437710   1861.4678625    588.5570800    917.5314159
    1560.000   -1986.3773949   1865.2528781    588.5786662    923.4170950
    1570.000   -2005.0487484   1869.0138447    588.5998437    929.3029879
    1580.000   -2023.7575926   1872.7510653    588.6206227    935.1890905
    1590.000   -2042.5036915   1876.4648368    588.6410132    941.0753990
    1600.000   -2061.2868121   1880.1554510    588.6610247    946.9619095
    1610.000   -2080.1067243   1883.8231942    588.6806665    952.8486183
    1620.000   -2098.9632007   1887.4683471    588.6999478    958.7355216
    1630.000   -2117.8560169   1891.0911858    588.7188772    964.6226161
    1640.000   -2136.7849510   1894.6919811    588.7374633    970.5098980
    1650.000   -2155.7497839   1898.2709989    588.7557143    976.3973642
    1660.000   -2174.7502992   1901.8285003    588.7736382    982.2850112
    1670.000   -2193.7862830   1905.3647419    588.7912428    988.1728359
    1680.000   -2212.8575240   1908.8799756    588.8085355    994.0608351
    1690.000   -2231.9638134   1912.3744491    588.8255238    999.9490056
    1700.000   -2251.1049446   1915.8484054    588.8422147   1005.8373445
    1710.000   -2270.2807139   1919.3020835    588.8586150   1011.7258489
    1720.000   -2289.4909195   1922.7357182    588.8747315   1017.6145159
    1730.000   -2308.7353622   1926.1495404    588.8905708   1023.5033426
    1740.000   -2328.0138450   1929.5437767    588.9061390   1029.3923264
    1750.000   -2347.3261732   1932.9186501    588.9214424   1035.2814645
    1760.000   -2366.6721542   1936.2743799    588.9364869   1041.1707544
    1770.000   -2386.0515977   1939.6111814    588.9512783   1047.0601934
    1780.000   -2405.4643154   1942.9292666    588.9658223   1052.9497791
    1790.000   -2424.9101213   1946.2288438    588.9801243   1058.8395091
    1800.000   -2444.3888313   1949.5101179    588.9941897   1064.7293808
    1810.000   -2463.9002633   1952.7732903    589.0080237   1070.6193921
    1820.000   -2483.4442374   1956.0185593    589.0216312   1076.5095406
    1830.000   -2503.0205755   1959.2461199    589.0350172   1082.3998240
    1840.000   -2522.6291014   1962.4561639    589.0481866   1088.2902402
    1850.000   -2542.2696410   1965.6488800    589.0611438   1094.1807870
    1860.000   -2561.9420219   1968.8244539    589.0738935   1100.0714624
    1870.000   -2581.6460736   1971.9830683    589.0864401   1105.9622642
    1880.000   -2601.3816273   1975.1249031    589.0987878   1111.8531905
    1890.000   -2621.1485163   1978.2501352    589.1109409   1117.7442393
    1900.000   -2640.9465753   1981.3589389    589.1229033   1123.6354087
    1910.000   -2660.7756409   1984.4514857    589.1346791   1129.5266967
    1920.000   -2680.6355514   1987.5279443    589.1462721   1135.4181017
    1930.000   -2700.5261467   1990.5884810    589.1576860   1141.3096216
    1940.000   -2720.4472685   1993.6332594    589.1689246   1147.2012548
    1950.000   -2740.3987599   1996.6624407    589.1799914   1153.0929995
    1960.000   -2760.3804658   1999.6761836    589.1908899   1158.9848541
    1970.000   -2780.3922326   2002.6746444    589.2016235   1164.8768168
    1980.000   -2800.4339083   2005.6579769    589.2121955   1170.7688860
    1990.000   -2820.5053422   2008.6263329    589.2226090   1176.6610601
    2000.000   -2840.6063855   2011.5798616    589.2328674   1182.5533376
