#      T [K]      F [kJ/mol]    S [J/K/mol]  C_v [J/K/mol]     E [kJ/mol]
       0.000     203.1414019      0.0000000      0.0000000    203.1414019
      10.000     203.1351889      2.1227586      5.3378800    203.1564165
      20.000     203.0689626     13.3906553     38.1193807    203.3367757
      30.000     202.8019525     44.2033440    132.0791603    204.1280528
      40.000     202.0923729    102.3818969    287.5681548    206.1876487
      50.000     200.6689174    186.0109322    470.3689351    209.9694641
      60.000     198.3114238    287.8670229    650.2421403    215.5834452
      70.000     194.8757916    400.5218228    811.8717084    222.9123192
      80.000     190.2842986    518.2459592    950.5972804    231.7439753
      90.000     184.5071259    637.1416660   1067.0674623    241.8498758
     100.000     177.5458932    754.7416581   1163.9694959    253.0200590
     110.000     169.4215958    869.5720854   1244.4408242    265.0745252
     120.000     160.1664646    980.8121511   1311.4115889    277.8639227
     130.000     149.8186967   1088.0574674   1367.3904207    291.2661675
     140.000     138.4191302   1191.1634448   1414.4402999    305.1820124
     150.000     126.0091892   1290.1440376   1454.2255213    319.5307949
     160.000     112.6296470   1385.1070549   1488.0777115    334.2467758
     170.000      98.3199075   1476.2131306   1517.0600098    349.2761397
     180.000      83.1176166   1563.6498780   1542.0223408    364.5745947
     190.000      67.0584795   1647.6157596   1563.6464952    380.1054739
     200.000      50.1762057   1728.3101728   1582.4819184    395.8382403
     210.000      32.5025320   1805.9275110   1598.9737484    411.7473094
     220.000      14.0672913   1880.6537640   1613.4846521    427.8111194
     230.000      -5.1014935   1952.6647357   1626.3118114    444.0113957
     240.000     -24.9775032   2022.1252809   1637.7001511    460.3325642
     250.000     -45.5360115   2089.1891783   1647.8526735    476.7612830
     260.000     -66.7537756   2153.9993880   1656.9385635    493.2860653
     270.000     -88.6089302   2216.6885334   1665.0995759    509.8969739
     280.000    -111.0808867   2277.3795019   1672.4550944    526.5853738
     290.000    -134.1502399   2336.1861005   1679.1061586    543.3437292
     300.000    -157.7986797   2393.2137209   1685.1386877    560.1654366
     310.000    -182.0089106   2448.5599923   1690.6260739    577.0446870
     320.000    -206.7645774   2502.3154036   1695.6312804    593.9763518
     330.000    -232.0501963   2554.5638885   1700.2085465    610.9558870
     340.000    -257.8510924   2605.3833697   1704.4047808    627.9792533
     350.000    -284.1533422   2654.8462601   1708.2607051    645.0428488
     360.000    -310.9437207   2703.0199235   1711.8117976    662.1434518
     370.000    -338.2096529   2749.9670955   1715.0890746    679.2781724
     380.000    -365.9391697   2795.7462666   1718.1197408    696.4444116
     390.000    -394.1208673   2840.4120322   1720.9277329    713.6398253
     400.000    -422.7438694   2884.0154103   1723.5341755    730.8622947
     410.000    -451.7977936   2926.6041296   1725.9577655    748.1098996
     420.000    -481.2727191   2968.2228932   1728.2150964    765.3808960
     430.000    -511.1591583   3008.9136162   1730.3209343    782.6736967
     440.000    -541.4480294   3048.7156436   1732.2884524    799.9868538
     450.000    -572.1306323   3087.6659475   1734.1294315    817.3190441
     460.000    -603.1986254   3125.7993073   1735.8544318    834.6690559
     470.000    -634.6440047   3163.1484735   1737.4729407    852.0357778
     480.000    -666.4590840   3199.7443174   1738.9935002    869.4181883
     490.000    -698.6364772   3235.6159681   1740.4238174    886.8153471
     500.000    -731.1690813   3270.7909369   1741.7708595    904.2263872
     510.000    -764.0500606   3305.2952321   1743.0409376    921.6505078
     520.000    -797.2728325   3339.1534636   1744.2397786    939.0869685
     530.000    -830.8310541   3372.3889386   1745.3725888    956.5350833
     540.000    -864.7186092   3405.0237505   1746.4441098    973.9942161
     550.000    -898.9295969   3437.0788593   1747.4586665    991.4637757
     560.000    -933.4583205   3468.5741664   1748.4202106   1008.9432127
     570.000    -968.2992774   3499.5285836   1749.3323582   1026.4320153
     580.000   -1003.4471492   3529.9600958   1750.1984237   1043.9297063
     590.000   -1038.8967934   3559.8858199   1751.0214486   1061.4358403
     600.000   -1074.6432341   3589.3220588   1751.8042288   1078.9500011
     610.000   -1110.6816548   3618.2843511   1752.5493374   1096.4717994
     620.000   -1147.0073908   3646.7875178   1753.2591459   1114.0008702
     630.000   -1183.6159220   3674.8457046   1753.9358425   1131.5368719
     640.000   -1220.5028667   3702.4724222   1754.5814489   1149.0794835
     650.000   -1257.6639753   3729.6805828   1755.1978356   1166.6284035
     660.000   -1295.0951244   3756.4825348   1755.7867345   1184.1833486
     670.000   -1332.7923114   3782.8900946   1756.3497518   1201.7440519
     680.000   -1370.7516494   3808.9145761   1756.8883781   1219.3102623
     690.000   -1408.9693622   3834.5668189   1757.4039986   1236.8817428
     700.000   -1447.4417797   3859.8572137   1757.8979018   1254.4582699
     710.000   -1486.1653336   3884.7957269   1758.3712875   1272.0396325
     720.000   -1525.1365532   3909.3919225   1758.8252739   1289.6256310
     730.000   -1564.3520616   3933.6549841   1759.2609043   1307.2160768
     740.000   -1603.8085719   3957.5937339   1759.6791527   1324.8107912
