#      T [K]      F [kJ/mol]    S [J/K/mol]  C_v [J/K/mol]     E [kJ/mol]
     650.000   -1873.7891001   5443.5969203   2508.8914251   1664.5488981
     660.000   -1928.4170987   5481.9072813   2509.6645119   1689.6417070
     670.000   -1983.4253633   5519.6528930   2510.4035888   1714.7420750
     680.000   -2038.8083283   5556.8500003   2511.1106170   1739.8496719
     690.000   -2094.5605869   5593.5141645   2511.7874188   1764.9641866
     700.000   -2150.6768849   5629.6603002   2512.4356889   1790.0853252
     710.000   -2207.1521139   5665.3027105   2513.0570053   1815.2128105
     720.000   -2263.9813058   5700.4551197   2513.6528386   1840.3463804
     730.000   -2321.1596270   5735.1307039   2514.2245607   1865.4857869
     740.000   -2378.6823727   5769.3421192   2514.7734524   1890.6307955
     750.000   -2436.5449627   5803.1015288   2515.3007110   1915.7811839
     760.000   -2494.7429357   5836.4206277   2515.8074564   1940.9367414
     770.000   -2553.2719451   5869.3106665   2516.2947369   1966.0972681
     780.000   -2612.1277549   5901.7824736   2516.7635352   1991.2625745
     790.000   -2671.3062353   5933.8464754   2517.2147724   2016.4324803
     800.000   -2730.8033586   5965.5127161   2517.6493135   2041.6068143
     810.000   -2790.6151960   5996.7908761   2518.0679705   2066.7854136
     820.000   -2850.7379137   6027.6902890   2518.4715072   2091.9681233
     830.000   -2911.1677694   6058.2199580   2518.8606417   2117.1547958
     840.000   -2971.9011093   6088.3885711   2519.2360502   2142.3452904
     850.000   -3032.9343653   6118.2045158   2519.5983699   2167.5394731
     860.000   -3094.2640511   6147.6758922   2519.9482012   2192.7372162
     870.000   -3155.8867607   6176.8105265   2520.2861107   2217.9383974
     880.000   -3217.7991644   6205.6159828   2520.6126333   2243.1429004
     890.000   -3279.9980075   6234.0995745   2520.9282741   2268.3506138
     900.000   -3342.4801066   6262.2683754   2521.2335108   2293.5614312
     910.000   -3405.2423485   6290.1292301   2521.5287949   2318.7752509
     920.000   -3468.2816869   6317.6887633   2521.8145540   2343.9919754
     930.000   -3531.5951408   6344.9533896   2522.0911928   2369.2115116
     940.000   -3595.1797924   6371.9293218   2522.3590948   2394.4337701
     950.000   -3659.0327850   6398.6225795   2522.6186237   2419.6586655
     960.000   -3723.1513212   6425.0389969   2522.8701243   2444.8861158
     970.000   -3787.5326610   6451.1842303   2523.1139241   2470.1160424
     980.000   -3852.1741201   6477.0637651   2523.3503339   2495.3483697
     990.000   -3917.0730684   6502.6829230   2523.5796489   2520.5830254
    1000.000   -3982.2269279   6528.0468679   2523.8021501   2545.8199400
    1010.000   -4047.6331718   6553.1606122   2524.0181043   2571.0590466
    1020.000   -4113.2893224   6578.0290230   2524.2277657   2596.3002811
    1030.000   -4179.1929502   6602.6568271   2524.4313761   2621.5435817
    1040.000   -4245.3416722   6627.0486167   2524.6291660   2646.7888892
    1050.000   -4311.7331507   6651.2088544   2524.8213548   2672.0361464
    1060.000   -4378.3650919   6675.1418776   2525.0081519   2697.2852983
    1070.000   -4445.2352450   6698.8519038   2525.1897568   2722.5362921
    1080.000   -4512.3414004   6722.3430344   2525.3663602   2747.7890768
    1090.000   -4579.6813893   6745.6192592   2525.5381436   2773.0436032
    1100.000   -4647.2530822   6768.6844603   2525.7052809   2798.2998242
    1110.000   -4715.0543877   6791.5424159   2525.8679380   2823.5576939
    1120.000   -4783.0832519   6814.1968040   2526.0262733   2848.8171685
    1130.000   -4851.3376572   6836.6512059   2526.1804385   2874.0782055
    1140.000   -4919.8156211   6858.9091096   2526.3305786   2899.3407639
    1150.000   -4988.5151957   6880.9739129   2526.4768325   2924.6048041
    1160.000   -5057.4344667   6902.8489265   2526.6193330   2949.8702880
    1170.000   -5126.5715524   6924.5373770   2526.7582074   2975.1371787
    1180.000   -5195.9246029   6946.0424096   2526.8935775   3000.4054405
    1190.000   -5265.4917994   6967.3670910   2527.0255601   3025.6750389
    1200.000   -5335.2713535   6988.5144119   2527.1542673   3050.9459408
    1210.000   -5405.2615062   7009.4872892   2527.2798065   3076.2181137
    1220.000   -5475.4605273   7030.2885688   2527.4022807   3101.4915267
    1230.000   -5545.8667148   7050.9210279   2527.5217888   3126.7661495
    1240.000   -5616.4783941   7071.3873766   2527.6384257   3152.0419529
    1250.000   -5687.2939175   7091.6902609   2527.7522827   3177.3189087
    1260.000   -5758.3116631   7111.8322640   2527.8634473   3202.5969896
    1270.000   -5829.5300349   7131.8159085   2527.9720036   3227.8761690
    1280.000   -5900.9474616   7151.6436585   2528.0780327   3253.1564212
    1290.000   -5972.5623964   7171.3179208   2528.1816122   3278.4377214
    1300.000   -6044.3733163   7190.8410475   2528.2828170   3303.7200455
    1310.000   -6116.3787213   7210.2153369   2528.3817191   3329.0033701
    1320.000   -6188.5771344   7229.4430355   2528.4783878   3354.2876725
    1330.000   -6260.9671007   7248.5263393   2528.5728898   3379.5729306
    1340.000   -6333.5471870   7267.4673957   2528.6652893   3404.8591233
    1350.000   -6406.3159814   7286.2683045   2528.7556482   3430.1462296
    1360.000   -6479.2720928   7304.9311194   2528.8440261   3455.4342296
    1370.000   -6552.4141502   7323.4578496   2528.9304804   3480.7231037
    1380.000   -6625.7408027   7341.8504607   2529.0150666   3506.0128330
    1390.000   -6699.2507188   7360.1108761   2529.0978380   3531.3033990
    1400.000   -6772.9425859   7378.2409784   2529.1788462   3556.5947839
    1410.000   -6846.8151101   7396.2426102   2529.2581409   3581.8869702
    1420.000   -6920.8670159   7414.1175754   2529.3357699   3607.1799412
    1430.000   -6995.0970453   7431.8676402   2529.4117797   3632.4736802
    1440.000   -7069.5039581   7449.4945344   2529.4862149   3657.7681715
    1450.000   -7144.0865311   7466.9999521   2529.5591188   3683.0633994
    1460.000   -7218.8435578   7484.3855525   2529.6305328   3708.3593489
    1470.000   -7293.7738481   7501.6529615   2529.7004975   3733.6560053
    1480.000   -7368.8762283   7518.8037719   2529.7690517   3758.9533542
    1490.000   -7444.1495401   7535.8395449   2529.8362331   3784.2513817
