#      T [K]      F [kJ/mol]    S [J/K/mol]  C_v [J/K/mol]     E [kJ/mol]
       0.000      56.2157694      0.0000000      0.0000000     56.2157694
      10.000      56.1946771      6.4181771     12.9214554     56.2588588
      20.000      56.0489154     24.2137450     43.7555127     56.5331903
      30.000      55.6865778     49.2674396     83.9255706     57.1646010
      40.000      55.0456856     79.6780742    130.2786442     58.2328086
      50.000      54.0806090    113.8060014    176.9273213     59.7709090
      60.000      52.7630473    149.9027689    219.4350622     61.7572135
      70.000      51.0807284    186.5635801    256.1681211     64.1401790
      80.000      49.0330497    222.8550394    287.1837176     66.8614529
      90.000      46.6267211    258.2269599    313.1904449     69.8671475
     100.000      43.8725645    292.3878864    335.0215561     73.1113532
     110.000      40.7834468    325.2068567    353.4349734     76.5562010
     120.000      37.3730262    356.6479265    369.0616611     80.1707774
     130.000      33.6550233    386.7294305    382.4094071     83.9298493
     140.000      29.6428110    415.4993925    393.8825497     87.8127260
     150.000      25.3491977    443.0208954    403.8030782     91.8023320
     160.000      20.7863230    469.3634599    412.4286792     95.8844766
     170.000      15.9656216    494.5980238    419.9670193    100.0472857
     180.000      10.8978239    518.7940797    426.5867199    104.2807583
     190.000       5.5929797    542.0181090    432.4257181    108.5764204
     200.000       0.0604924    564.3327939    437.5976454    112.9270512
     210.000      -5.6908407    585.7966964    442.1967231    117.3264655
     220.000     -11.6527873    606.4642132    446.3015506    121.7693396
     230.000     -17.8176386    626.3856894    449.9780620    126.2510700
     240.000     -24.1781697    645.6076211    453.2818547    130.7676593
     250.000     -30.7276026    664.1729001    456.2600360    135.3156225
     260.000     -37.4595711    682.1210771    458.9527016    139.8919090
     270.000     -44.3680890    699.4886242    461.3941246    144.4938395
     280.000     -51.4475206    716.3091895    463.6137198    149.1190525
     290.000     -58.6925533    732.6138368    465.6368291    153.7654594
     300.000     -66.0981735    748.4312699    467.4853657    158.4312075
     310.000     -73.6596434    763.7880381    469.1783436    163.1146484
     320.000     -81.3724808    778.7087253    470.7323168    167.8143112
     330.000     -89.2324404    793.2161219    472.1617434    172.5288798
     340.000     -97.2354963    807.3313814    473.4792897    177.2571734
     350.000    -105.3778266    821.0741615    474.6960853    181.9981299
     360.000    -113.6557991    834.4627530    475.8219367    186.7507920
     370.000    -122.0659580    847.5141958    476.8655089    191.5142945
     380.000    -130.6050122    860.2443839    477.8344777    196.2878536
     390.000    -139.2698244    872.6681604    478.7356601    201.0707582
     400.000    -148.0574004    884.7994041    479.5751253    205.8623612
     410.000    -156.9648808    896.6511069    480.3582893    210.6620731
     420.000    -165.9895314    908.2354451    481.0899960    215.4693555
     430.000    -175.1287366    919.5638432    481.7745874    220.2837160
     440.000    -184.3799910    930.6470324    482.4159637    225.1047032
     450.000    -193.7408936    941.4951034    483.0176354    229.9319030
     460.000    -203.2091411    952.1175549    483.5827685    234.7649342
     470.000    -212.7825225    962.5233375    484.1142237    239.6034461
     480.000    -222.4589138    972.7208934    484.6145908    244.4471151
     490.000    -232.2362729    982.7181940    485.0862183    249.2956421
     500.000    -242.1126353    992.5227721    485.5312397    254.1487508
     510.000    -252.0861097   1002.1417539    485.9515964    259.0061847
     520.000    -262.1548743   1011.5818859    486.3490578    263.8677064
     530.000    -272.3171726   1020.8495615    486.7252392    268.7330950
     540.000    -282.5713109   1029.9508446    487.0816173    273.6021452
     550.000    -292.9156541   1038.8914908    487.4195443    278.4746658
     560.000    -303.3486235   1047.6769682    487.7402599    283.3504787
     570.000    -313.8686936   1056.3124755    488.0449025    288.2294175
     580.000    -324.4743896   1064.8029591    488.3345187    293.1113267
     590.000    -335.1642851   1073.1531289    488.6100720    297.9960610
     600.000    -345.9369995   1081.3674728    488.8724506    302.8834842
     610.000    -356.7911961   1089.4502703    489.1224743    307.7734688
     620.000    -367.7255800   1097.4056049    489.3609005    312.6658950
     630.000    -378.7388963   1105.2373759    489.5884301    317.5606505
     640.000    -389.8299281   1112.9493087    489.8057119    322.4576295
     650.000    -400.9974949   1120.5449654    490.0133477    327.3567326
     660.000    -412.2404512   1128.0277536    490.2118962    332.2578662
     670.000    -423.5576847   1135.4009352    490.4018762    337.1609419
     680.000    -434.9481150   1142.6676349    490.5837706    342.0658767
     690.000    -446.4106924   1149.8308468    490.7580286    346.9725919
     700.000    -457.9443965   1156.8934425    490.9250691    351.8810132
     710.000    -469.5482351   1163.8581769    491.0852828    356.7910705
     720.000    -481.2212427   1170.7276945    491.2390344    361.7026974
